REPORTING_YEAR,CHEM_NAME,REL_EST_AMT,CARCINOGEN,CLEAN_AIR,LIST_3350,PFAS_IND,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,ZIP_CODE,REGION,TOTAL_RELEASE
2016,Xylene (mixed isomers),123,N,Y,Y,0,999 AIRBRAKE AVE,WILMERDING,ALLEGHENY,PA,15148,3,123
2021,Benzene,134,Y,Y,Y,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,134
2020,Manganese compounds,0,N,Y,N,0,109 48TH ST,PITTSBURGH,ALLEGHENY,PA,15201,3,0
2018,Ethylene glycol,0.118451,N,Y,N,0,100 LEETSDALE INDUSTRIAL DR - BUILDINGS 72 76 & 150,LEETSDALE,ALLEGHENY,PA,15056,3,0.118451
2016,Copper compounds,0,N,N,N,0,109 48TH ST,PITTSBURGH,ALLEGHENY,PA,15201,3,0
2016,Methyl isobutyl ketone,250,Y,Y,Y,0,2895 GRAND AVE,PITTSBURGH,ALLEGHENY,PA,15225,3,
2015,Copper compounds,0,N,N,N,0,150 FERRY ST,CREIGHTON,ALLEGHENY,PA,15030,3,
2021,Zinc compounds,4210,N,N,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,4210
2019,Cyclohexanol,38,N,N,N,0,3419 SMALLMAN ST,PITTSBURGH,ALLEGHENY,PA,15201,3,38
2021,4 4'-Isopropylidenediphenol,6,N,N,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,6
2021,Nickel  And Nickel Compounds,250,Y,Y,Y,0,100 RIVER RD,BRACKENRIDGE,ALLEGHENY,PA,15014,3,250
2019,Cobalt,0.57,Y,Y,N,0,1001 ROBB HILL RD,OAKDALE,ALLEGHENY,PA,15071,3,0.57
2015,Ethylene,526,N,N,N,0,200 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,526
2019,Toluene,41.18,N,Y,N,0,201 ZETA DRIVE,PITTSBURGH,ALLEGHENY,PA,15238,3,41.18
2016,Methanol,1331,N,Y,N,0,650 NOBLE DR,WEST MIFFLIN,ALLEGHENY,PA,15122,3,1331
2018,Benzene,244,Y,Y,Y,0,CAMP HOLLOW RD,WEST MIFFLIN,ALLEGHENY,PA,15122,3,244
2020,Naphthalene,10,Y,Y,N,0,2800 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,10
2017,Toluene,5,N,Y,N,0,440 COLLEGE PARK DR,MONROEVILLE,ALLEGHENY,PA,15146,3,
2020,Manganese compounds,0,N,Y,N,0,13TH & BRADDOCK AVE C/O USS,BRADDOCK,ALLEGHENY,PA,15104,3,
2021,Xylene (mixed isomers),15,N,Y,Y,0,2800 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,15
2021,Chromium compounds (except for chromite ore mined in the Transvaal Region),0,N,Y,Y,0,2000 WESTHALL ST,PITTSBURGH,ALLEGHENY,PA,15233,3,
2020,Ethylene glycol,135,N,Y,N,0,2650 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,135
2017,Cyclohexane,38,N,N,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,38
2017,Toluene,1790,N,Y,N,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,1790
2015,Chromium compounds (except for chromite ore mined in the Transvaal Region),25,N,Y,Y,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,25
2015,Chromium compounds (except for chromite ore mined in the Transvaal Region),65,N,Y,Y,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,65
2019,Naphthalene,54,Y,Y,N,0,616 HITE RD,HARWICK,ALLEGHENY,PA,15049,3,54
2016,Lead,237,Y,Y,Y,0,100 WASHINGTON ST,LEETSDALE,ALLEGHENY,PA,15056,3,237
2015,Lead compounds,0,N,Y,Y,0,1601 CHARTIERS VALLEY LN,PITTSBURGH,ALLEGHENY,PA,15205,3,0
2020,Chromium compounds (except for chromite ore mined in the Transvaal Region),7.37,N,Y,Y,0,1300 BRADDOCK AVE,BRADDOCK,ALLEGHENY,PA,15104,3,7.37
2020,Chromium compounds (except for chromite ore mined in the Transvaal Region),0,N,Y,Y,0,1300 BRADDOCK AVE,BRADDOCK,ALLEGHENY,PA,15104,3,
2015,Benzo[g h i]perylene,0,N,Y,N,0,6TH & CENTER ST,TARENTUM,ALLEGHENY,PA,15084,3,0
2020,Lead compounds,5,N,Y,Y,0,PITTSBURGH & PORTER ST,SPRINGDALE,ALLEGHENY,PA,15144,3,5
2016,Toluene,0,N,Y,N,0,3419 SMALLMAN ST,PITTSBURGH,ALLEGHENY,PA,15201,3,
2020,Dicyclopentadiene,5940,N,N,N,0,2800 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,5940
2016,Xylene (mixed isomers),617,N,Y,Y,0,300 N STATE ST,CLAIRTON,ALLEGHENY,PA,15025,3,617
2018,Styrene,0,Y,Y,N,0,1575 LEBANON SCHOOL RD,WEST MIFFLIN,ALLEGHENY,PA,15122,3,0
2016,Benzo[g h i]perylene,8.17,N,Y,N,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,8.17
2015,n-Hexane,800,N,Y,N,0,9 THORN ST,CORAOPOLIS,ALLEGHENY,PA,15108,3,800
2017,Mercury compounds,0,N,Y,Y,0,200 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,0
2019,Beryllium compounds,0,Y,Y,N,0,BRADDOCK AVE & 13TH ST,BRADDOCK,ALLEGHENY,PA,15104,3,0
2015,Mercury compounds,2.4,N,Y,Y,0,200 NEVILLE RD,PITTSBURGH,ALLEGHENY,PA,15225,3,2.4
2019,Aluminum (fume or dust),0,N,N,N,0,109 48TH ST,PITTSBURGH,ALLEGHENY,PA,15201,3,
2017,Ethylene glycol,9,N,Y,N,0,999 AIRBRAKE AVE,WILMERDING,ALLEGHENY,PA,15148,3,9
2018,Xylene (mixed isomers),0,N,Y,Y,0,128 FIRST ST,PITTSBURGH,ALLEGHENY,PA,15238,3,0
2020,Styrene,0,Y,Y,N,0,1575 LEBANON SCHOOL RD,WEST MIFFLIN,ALLEGHENY,PA,15122,3,0
2016,Xylene (mixed isomers),17.9,N,Y,Y,0,201 ZETA DRIVE,PITTSBURGH,ALLEGHENY,PA,15238,3,17.9
2021,Carbon disulfide,5687,N,Y,N,0,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,15025,3,5687
2019,Lead  And Lead Compounds,211,N,Y,Y,0,100 RIVER RD,BRACKENRIDGE,ALLEGHENY,PA,15014,3,211
2017,Styrene,0,Y,Y,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,0
2017,Styrene,16,Y,Y,N,0,125 COLFAX ST,SPRINGDALE,ALLEGHENY,PA,15144,3,16
2021,Chromium,0,N,Y,Y,0,5 N LINDEN,DUQUESNE,ALLEGHENY,PA,15110,3,0
